activity,subject,tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tbodyaccstdx,tbodyaccstdy,tbodyaccstdz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tgravityaccstdx,tgravityaccstdy,tgravityaccstdz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodyaccjerkstdx,tbodyaccjerkstdy,tbodyaccjerkstdz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrostdx,tbodygyrostdy,tbodygyrostdz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodygyrojerkstdx,tbodygyrojerkstdy,tbodygyrojerkstdz,tbodyaccmagmean,tbodyaccmagstd,tgravityaccmagmean,tgravityaccmagstd,tbodyaccjerkmagmean,tbodyaccjerkmagstd,tbodygyromagmean,tbodygyromagstd,tbodygyrojerkmagmean,tbodygyrojerkmagstd,fbodyaccmeanx,fbodyaccmeany,fbodyaccmeanz,fbodyaccstdx,fbodyaccstdy,fbodyaccstdz,fbodyaccjerkmeanx,fbodyaccjerkmeany,fbodyaccjerkmeanz,fbodyaccjerkstdx,fbodyaccjerkstdy,fbodyaccjerkstdz,fbodygyromeanx,fbodygyromeany,fbodygyromeanz,fbodygyrostdx,fbodygyrostdy,fbodygyrostdz,fbodyaccmagmean,fbodyaccmagstd,fbodybodyaccjerkmagmean,fbodybodyaccjerkmagstd,fbodybodygyromagmean,fbodybodygyromagstd,fbodybodygyrojerkmagmean,fbodybodygyrojerkmagstd
WALKING,1,0.276487160947368,-0.0171943947489263,-0.105460973136842,-0.744576489052632,-0.5523654684,-0.635957965774421,0.927355044842105,-0.185506795515789,-0.116341637758947,-0.986020895789474,-0.966475749894737,-0.958174429789474,0.075895881606,0.00891977587142105,0.00741409640178947,-0.760558584736842,-0.668272043905263,-0.811689497473684,-0.0265352126567368,-0.0713014634957895,0.0777654076915789,-0.788683435473684,-0.666685689696842,-0.652852725294737,-0.0926763310513684,-0.0451910351631579,-0.0538045796810526,-0.780767390210526,-0.817470639578947,-0.729153888021053,-0.638234599336842,-0.73053647768421,-0.638234599336842,-0.73053647768421,-0.730853893473684,-0.74241804431579,-0.657724536010526,-0.693528220631579,-0.787406101789474,-0.821095878947368,-0.748430423157895,-0.598132647903158,-0.715327404631579,-0.743529557473684,-0.557832164145263,-0.624390319600947,-0.768187664947368,-0.692909243479368,-0.793438119789474,-0.774034356526316,-0.664332575831579,-0.828534615789474,-0.753324761789474,-0.722560678210526,-0.663258301147368,-0.800640039368421,-0.640248681327263,-0.682439197473684,-0.732742199052632,-0.771511072736842,-0.740529593684211,-0.745593834105263,-0.733825593578947,-0.719940096,-0.826427509473684,-0.827423731157895
WALKING,2,0.274533745661017,-0.017222469700678,-0.106782059084746,-0.970212085423729,-0.964880823050847,-0.968623229830508,-0.226732918881356,0.326728041694915,0.859217209661017,-0.961125251186441,-0.982207294237288,-0.96954007559322,0.0790381439372881,0.0125934320416949,-0.00659974428245763,-0.986628906271186,-0.982014716610169,-0.987266728813559,-0.021999448220339,-0.10730700740678,0.0926130246440678,-0.980344319661017,-0.965784705932203,-0.980127905084746,-0.101243759508475,-0.034650957538983,-0.0593245142033898,-0.987101430338983,-0.984861297118644,-0.992644306440678,-0.965840433728814,-0.96506101559322,-0.965840433728814,-0.96506101559322,-0.986493817457627,-0.986332510169492,-0.957571225423729,-0.959128339322034,-0.988178223389831,-0.985512871525424,-0.977442298813559,-0.97152340779661,-0.976760098644068,-0.967735788813559,-0.963581449830508,-0.965899620508475,-0.986499728305085,-0.981862020677966,-0.985271252033898,-0.988053539830508,-0.983562072033898,-0.987824686949152,-0.979377707288136,-0.972327750169492,-0.981008837627119,-0.980801212711864,-0.962694056440678,-0.981636112711864,-0.972753488813559,-0.965448716101695,-0.985774358644068,-0.985890498983051,-0.96910612440678,-0.959743165254237,-0.98591932,-0.985668150508475
WALKING,3,0.274443265862069,-0.0180539406672414,-0.113298880517241,-0.269226190237931,-0.0891711092241379,-0.266826590844828,0.946971572758621,-0.199324862137931,-0.0486906938051724,-0.973206798793103,-0.948804214137931,-0.933125167241379,0.0827074862275862,0.0170583829827586,0.00504847835172414,-0.300135873551724,-0.271460570912069,-0.57020456,-0.0827390050051724,-0.0557454433256897,0.0935676316155172,-0.379308898551724,-0.256201845417241,-0.134334039287931,-0.0850313296460345,-0.0381707803965517,-0.0392643583275862,-0.435893791224138,-0.578979280172414,-0.435004831467931,-0.162791810265517,-0.296703563915517,-0.162791810265517,-0.296703563915517,-0.326022838448276,-0.326718815224138,-0.106130291667241,-0.320852159758621,-0.506644100172414,-0.58194661637931,-0.263731313965517,-0.145641911087931,-0.386036210344828,-0.272828532561207,-0.119596949624138,-0.262484911327586,-0.32703126037931,-0.314128869034483,-0.533764952586207,-0.335339894310345,-0.274676210944828,-0.605366298275862,-0.310608996672414,-0.341391841601552,-0.178431334367241,-0.406091457241379,-0.215625023672414,-0.204743369343103,-0.276997281548966,-0.417999236517241,-0.30977655437931,-0.353996239310345,-0.392305820344828,-0.390156770448276,-0.58418212137931,-0.609996921206897
WALKING,4,0.284308297666667,-0.0190601965726667,-0.110673445933333,-0.52631252036,-0.487982032313333,-0.687576462333333,0.231643198666667,-0.05000304645,-0.144523101316667,-0.9735548745,-0.961599947333333,-0.958551597833333,0.0654104295666667,0.008281679433,-0.0049397701751,-0.628659461956667,-0.588875480533333,-0.779388309833333,-0.0424401687316667,-0.07236920178,0.0730572414483333,-0.619515869416667,-0.688447118833333,-0.670069664333333,-0.0866323015363333,-0.0463928542566667,-0.0584196206718333,-0.632871099566667,-0.814211526666667,-0.725757960666667,-0.520303383771667,-0.520878326466667,-0.520303383771667,-0.520878326466667,-0.644703457766667,-0.625076922696667,-0.55641646429,-0.633201099083333,-0.751833880666667,-0.762397389833333,-0.556507477873333,-0.493207900783333,-0.708831726166667,-0.515807951753333,-0.518465688116667,-0.702188927,-0.633630787795,-0.605682872216667,-0.7567084445,-0.657773141116667,-0.599054702996667,-0.800895852166667,-0.52813817055,-0.710904370933333,-0.634457584116667,-0.650528535666667,-0.680267391666667,-0.713656887333333,-0.521609407016667,-0.595289345791667,-0.614262299946667,-0.641677975466667,-0.66151102679,-0.6799183525,-0.764206193666667,-0.777620565333333
WALKING,5,0.261779786964286,-0.0266516595448214,-0.109021488758929,-0.116831202283929,0.0514728173875,-0.290789581498214,0.907505091607143,-0.295598878392857,0.00411941982285714,-0.944653411607143,-0.935613115892857,-0.903298556964286,0.102318984678571,0.00755590446785714,-0.00924647369464286,-0.144485339857143,-0.0997409704107143,-0.632949849107143,-0.0500595993571429,-0.052199556525,0.0798400665266071,-0.401762760792857,-0.368270492464286,-0.414578273571429,-0.0436944614107143,-0.0670717882339286,-0.0601946502892857,-0.381357366232143,-0.635747426821429,-0.454388577723214,-0.0565811214464286,-0.0904234809828571,-0.0565811214464286,-0.0904234809828571,-0.247800759192857,-0.114214396428571,-0.184946172948214,-0.3082897099875,-0.548364162142857,-0.552893441714286,-0.0987927013928571,0.0428616559446429,-0.432326449107143,-0.126461114867857,-0.0130333861678571,-0.281172499425,-0.170109912107143,-0.129594211196429,-0.598630696232143,-0.195398732383036,-0.129770275982143,-0.665920063035714,-0.258465540841071,-0.459973279375,-0.315603210494643,-0.44983143475,-0.333094585383929,-0.507550305357143,-0.0627182929696429,-0.250274752126786,-0.0893555882857143,-0.155252342589286,-0.388292997939286,-0.377165445053571,-0.562418604267857,-0.574411583732143
WALKING,6,0.275348276245614,-0.00984803052982456,-0.111667068122807,-0.467332965087719,-0.462505603087719,-0.628184102719298,0.655627789473684,0.128255686141754,0.211145274315789,-0.950007179824561,-0.927705729054386,-0.917770603333333,0.0620252202649123,-0.000505960078947369,-0.0165020714875439,-0.562994019754386,-0.566658424361404,-0.75009672345614,-0.0415523204370175,-0.0907947033859649,0.114952198297544,-0.704357155122807,-0.69961050322807,-0.657799751263158,-0.0812501045736842,-0.0327962267259649,-0.0518330057982456,-0.768947188421053,-0.82422647877193,-0.745844441403509,-0.453189016914737,-0.418377023789474,-0.453189016914737,-0.418377023789474,-0.616604353982456,-0.530005890294737,-0.602799131140351,-0.663590133842105,-0.797203197192982,-0.815271189473684,-0.529739836229825,-0.488548553147368,-0.656788197035088,-0.445421620165263,-0.48478396985614,-0.645765054333333,-0.585224269524561,-0.588117058577193,-0.723058561982456,-0.579354258122807,-0.572912997022807,-0.776150822631579,-0.665395310033333,-0.729470021052632,-0.64075277377193,-0.718473304807018,-0.685568455894737,-0.695649400175439,-0.447545886259649,-0.495110158489474,-0.536490236335088,-0.525910037596491,-0.72020718122807,-0.685441942210526,-0.82003077245614,-0.822608297192982
WALKING,7,0.263022720973684,-0.00584721448596491,-0.104428173268421,-0.980877387368421,-0.927674817017544,-0.939727922807018,0.874367809122807,0.186078197631579,0.149204333280702,-0.971257695789474,-0.948993887368421,-0.94102068877193,0.076346032177193,0.00490906924210526,0.00076657243431579,-0.98828683754386,-0.979044377192982,-0.987133421929825,-0.0359935859245614,-0.0690285306403509,0.0671550999649123,-0.988662184210526,-0.971201478245614,-0.954195332982456,-0.095940342245614,-0.0410709603949123,-0.0485814562105263,-0.992707312280702,-0.99020003245614,-0.987645473333333,-0.950223822631579,-0.93107761122807,-0.950223822631579,-0.93107761122807,-0.986721320701754,-0.984668155789474,-0.948655787894737,-0.955225137894737,-0.992386399649123,-0.989186992105263,-0.982912517894737,-0.946210973333333,-0.959231919298246,-0.980257357894737,-0.923377647192982,-0.934249136491228,-0.988219352807018,-0.979229334035088,-0.984887986666667,-0.989442565087719,-0.980361714736842,-0.987989964736842,-0.987040104736842,-0.977451815964912,-0.959285529824561,-0.989191785438597,-0.968264171929825,-0.956841576842105,-0.948932855789474,-0.933235114210526,-0.984732415087719,-0.983362350701754,-0.968547590701754,-0.954866898947368,-0.989705232280702,-0.988962875087719
WALKING,8,0.287891190833333,-0.0138674420166667,-0.0992005127708333,-0.608365263541667,-0.573672402979167,-0.561061239985417,0.944710868541667,-0.142541885297917,-0.140099929254167,-0.9753482475,-0.97376489875,-0.948550977083333,0.0831059527770833,0.00386112751416667,-0.0148748993122917,-0.594365393666667,-0.596875739520833,-0.709349624791667,-0.0713757963125,-0.0558161284604167,0.102376958770833,-0.748975389166667,-0.738900782083333,-0.602114756875,-0.0845581029583333,-0.03262653184375,-0.0636756261333333,-0.753364119375,-0.791111002291667,-0.719390946666667,-0.54341148925,-0.671717225625,-0.54341148925,-0.671717225625,-0.597505423916667,-0.625984516395833,-0.641289435375,-0.73397413375,-0.7623065825,-0.806325172083333,-0.626734376291667,-0.575186675229167,-0.637162759583333,-0.602341079166667,-0.601155662645833,-0.557466049154167,-0.638291104166667,-0.628656759410625,-0.704421238125,-0.586870251041667,-0.589494415666667,-0.713228235,-0.695170109583333,-0.728471013333333,-0.58255446225,-0.766708846458333,-0.7477543475,-0.645714046666667,-0.653329314395833,-0.735396655208333,-0.631485372458333,-0.621004064854167,-0.747861613958333,-0.770638571458333,-0.808945815625,-0.816226980416667
WALKING,9,0.276881323269231,-0.0145301900730769,-0.107504389230769,-0.989010581153846,-0.944778663846154,-0.951624309423077,0.922102626538462,-0.00153568730769231,0.149565371736538,-0.989037916923077,-0.970083511346154,-0.958756295,0.0760516801538462,0.00496813668423077,-0.00682587613186538,-0.989152401730769,-0.975694341730769,-0.986159151730769,-0.0275546016730769,-0.078121749,0.0896115940192308,-0.987234956153846,-0.970896314807692,-0.965975530769231,-0.0989362559230769,-0.0382997576519231,-0.0544487667653846,-0.989940871153846,-0.989711050961538,-0.984267950769231,-0.965916523461538,-0.952333528269231,-0.965916523461538,-0.952333528269231,-0.986111395,-0.982935164423077,-0.968323861538462,-0.961913845384615,-0.991011361153846,-0.987129235961538,-0.9882890775,-0.952668320576923,-0.965701561730769,-0.989344248269231,-0.9437072125,-0.9476369475,-0.989162030576923,-0.976151626346154,-0.983802699230769,-0.990143729807692,-0.976921152115385,-0.987129615961538,-0.984765329615385,-0.975991915192308,-0.967323127307692,-0.987994549615385,-0.968332805384615,-0.968715384038462,-0.962320911538462,-0.953884506923077,-0.982983026153846,-0.981675348653846,-0.971809280961538,-0.962089829423077,-0.988357923846154,-0.986215207115385
WALKING,10,0.280232679622642,-0.0151524444254717,-0.110786888075472,-0.489212407283019,-0.367104389145283,-0.578437566981132,0.911749460943396,-0.159767091056604,-0.0984969383584906,-0.971142219245283,-0.971387103962264,-0.945689759245283,0.0801446105735849,0.0238764315396226,0.011672523290566,-0.415637437415094,-0.39709564699434,-0.712420684339623,-0.0245940454160377,-0.061735712970434,0.0899485902688679,-0.669926560188679,-0.493806914283019,-0.523491240943396,-0.0977032532792453,-0.0526523554792453,-0.0548060570358491,-0.60797285754717,-0.685659276037736,-0.612664855283019,-0.436077741749057,-0.495155639860377,-0.436077741749057,-0.495155639860377,-0.476775416433962,-0.40394825764717,-0.484658570490566,-0.591607446981132,-0.646966245660377,-0.697716054150943,-0.450646210924528,-0.370907542039623,-0.620105727924528,-0.505962905207547,-0.405649964849057,-0.589778521320755,-0.452781572220755,-0.435601215931509,-0.68581885509434,-0.429401895337736,-0.396632136188679,-0.738046799622642,-0.596154879056604,-0.557616613018868,-0.486699652622642,-0.693983953207547,-0.46245358690566,-0.580210690188679,-0.454066574241509,-0.598962460754717,-0.405585258371698,-0.406717645684906,-0.610368288301887,-0.650172822075472,-0.697658435849057,-0.719404148113208
